"ID","SalePrice"
1461,122498.501919213
1462,158589.585136803
1463,184068.40300279
1464,197295.165842548
1465,190644.675927156
1466,172817.269898002
1467,173197.552037562
1468,163937.845387116
1469,183568.089579409
1470,121013.82495924
1471,195434.198345872
1472,100861.155024524
1473,100061.403818684
1474,144461.461307802
1475,124248.930143684
1476,353804.440313617
1477,240239.422014121
1478,306200.241355918
1479,288613.832467963
1480,518517.436530573
1481,316393.634234578
1482,217939.775640203
1483,182205.967929953
1484,169380.386245132
1485,188352.352197401
1486,199460.979021416
1487,327492.089386697
1488,235816.012627512
1489,190596.832912529
1490,232506.218271382
1491,189219.619082255
1492,94070.6120086094
1493,179904.49115593
1494,281892.353030774
1495,296157.207987801
1496,239929.957252798
1497,179908.699244443
1498,162056.343248844
1499,159954.994102391
1500,153768.003265387
1501,171604.453638305
1502,154804.273101046
1503,266255.285515547
1504,241984.804877702
1505,228921.655842213
1506,191661.483784768
1507,251704.92676117
1508,202873.359921217
1509,158005.952639612
1510,138157.380610408
1511,142210.139089781
1512,164221.113809181
1513,146428.11654048
1514,155890.001582555
1515,208040.552301192
1516,148848.432884998
1517,179469.95497526
1518,139348.497763923
1519,212762.587114909
1520,128652.00858733
1521,133847.337789354
1522,164774.315013631
1523,114157.402924857
1524,124561.13620857
1525,123490.667594418
1526,126720.26892249
1527,110103.449164077
1528,139893.970691826
1529,135130.362283791
1530,168718.174655545
1531,115187.588535121
1532,87124.3430258432
1533,134901.101010533
1534,130604.164003431
1535,150347.898784274
1536,106713.497914975
1537,74123.3951935763
1538,166601.111064171
1539,206830.688453952
1540,102199.855455999
1541,141947.654407829
1542,136164.509536641
1543,189872.128789821
1544,78218.2859589006
1545,117143.533005235
1546,126601.69652474
1547,118597.341339645
1548,128645.950419885
1549,117722.941960868
1550,126652.265047997
1551,110812.985102201
1552,127372.20479291
1553,134586.532334406
1554,128442.054052109
1555,161584.091927248
1556,84602.6883763552
1557,98729.9647160011
1558,100072.224681311
1559,79631.6400943503
1560,133964.356890153
1561,110940.638386462
1562,132380.979805337
1563,120649.180575282
1564,170396.671911899
1565,143534.468449895
1566,237982.168442245
1567,79595.5868297793
1568,222656.792265584
1569,139215.57058128
1570,149004.138984954
1571,125770.158244107
1572,148219.55604206
1573,241136.537624278
1574,122524.51544938
1575,228015.1153042
1576,245032.58004788
1577,183136.641127674
1578,149288.379194944
1579,148061.900286215
1580,189956.684472852
1581,154166.220052712
1582,126526.610886885
1583,304201.550034897
1584,223341.478216899
1585,143442.274715412
1586,73556.5350835934
1587,109882.970678121
1588,145663.758501008
1589,95582.4318354036
1590,142557.330584681
1591,90823.9239762361
1592,110608.21838215
1593,120445.59661827
1594,123439.904305381
1595,101797.529081648
1596,217507.706482027
1597,177929.033333103
1598,197305.060496305
1599,177766.903816086
1600,167336.940876029
1601,69929.0745118708
1602,117633.478982945
1603,85076.4671231263
1604,220506.341071958
1605,239212.323051052
1606,169289.880280035
1607,192399.039626653
1608,213745.032218264
1609,180341.938052576
1610,147911.740527049
1611,142278.840684121
1612,162646.416192346
1613,161578.0682874
1614,118690.009741912
1615,84729.5468381633
1616,78212.0938797033
1617,97101.1188605373
1618,129317.469938363
1619,133515.830121884
1620,156778.833471316
1621,140329.266346384
1622,138365.44865626
1623,250429.780060619
1624,208652.860445376
1625,126378.124871297
1626,171616.687057943
1627,188215.575054441
1628,276091.265528216
1629,180130.533073059
1630,372471.313060482
1631,210093.765006856
1632,240131.033536443
1633,175412.465534792
1634,189473.820610527
1635,178732.251841933
1636,157512.761908509
1637,182883.87659673
1638,223745.15460561
1639,186760.523535532
1640,263909.469018871
1641,189088.941449263
1642,248089.930717197
1643,255202.514171294
1644,239726.38042688
1645,197508.992312791
1646,162721.916708913
1647,168420.002554262
1648,128601.38161153
1649,132502.627301352
1650,118662.047828712
1651,124205.358097009
1652,102156.23964684
1653,104126.464231035
1654,140025.391147943
1655,138267.840754017
1656,136599.808003911
1657,140454.317464246
1658,144588.414567552
1659,132198.586166563
1660,159225.058752721
1661,481729.749638691
1662,390640.390782543
1663,384411.792831572
1664,539995.856381208
1665,307874.594541656
1666,302237.441544762
1667,391785.48223657
1668,341764.766650084
1669,296632.157882731
1670,361880.105450827
1671,270238.959118834
1672,460704.961691934
1673,284515.764123983
1674,248520.500162005
1675,201464.992644952
1676,201776.423218956
1677,223064.012104754
1678,522790.994389122
1679,377001.218379527
1680,337102.296105812
1681,261703.08550361
1682,290624.648915636
1683,198139.411992863
1684,183648.054831464
1685,176958.614886652
1686,180887.819087722
1687,176597.128337341
1688,195986.058471486
1689,194865.388249171
1690,199983.626975576
1691,188617.17424726
1692,254597.236807785
1693,172323.591859077
1694,179291.791072924
1695,163768.208561767
1696,298106.465824558
1697,172160.167753382
1698,351432.709177568
1699,301860.465825421
1700,256576.193566592
1701,278732.826625295
1702,245956.70963529
1703,247483.725793238
1704,276141.93872124
1705,225722.823218012
1706,473557.332382467
1707,201603.862842799
1708,199702.317835996
1709,261798.700652083
1710,229325.239272266
1711,259660.707492455
1712,259156.04533692
1713,280232.844953966
1714,223185.686257713
1715,207923.30971882
1716,186318.372097231
1717,173314.964425846
1718,129586.886584232
1719,196013.912576564
1720,223147.407557889
1721,148219.241368924
1722,106757.749295289
1723,139516.178760509
1724,196896.810895338
1725,242057.665285267
1726,182684.423318459
1727,162996.044455351
1728,150439.06372008
1729,166655.738161826
1730,170508.670914476
1731,117589.795009466
1732,124919.425609207
1733,119821.460851403
1734,122253.8683024
1735,120287.348546558
1736,110279.576785024
1737,326195.613529671
1738,257031.421275667
1739,255279.122000748
1740,216392.18012505
1741,203283.692133702
1742,167797.6461687
1743,174549.131012469
1744,350647.200069049
1745,206286.092129152
1746,212194.517215755
1747,238193.515226917
1748,226023.737650181
1749,141902.65158422
1750,142540.153684077
1751,248686.446149686
1752,121955.95314302
1753,144828.219752026
1754,205295.482276843
1755,177099.993079527
1756,118092.500883305
1757,118521.662760947
1758,142552.297659385
1759,157618.47216107
1760,159787.784332268
1761,153023.036202777
1762,175011.491682556
1763,169985.139017594
1764,114276.315796885
1765,174259.409894654
1766,178197.37171164
1767,223724.077799636
1768,138768.243936629
1769,170948.31476624
1770,155227.049011438
1771,126105.35503719
1772,134176.270248737
1773,126123.465297809
1774,145195.504712053
1775,138021.62576641
1776,119723.466676576
1777,109840.579353324
1778,149928.343891073
1779,114726.285303887
1780,169953.663716094
1781,127974.649553087
1782,94919.9285215224
1783,145183.66168383
1784,115669.761516173
1785,122936.862207333
1786,139637.556603661
1787,178438.436382444
1788,54998.3848517448
1789,101385.693778895
1790,88408.9664642693
1791,189081.297037822
1792,155302.470471229
1793,127637.932159041
1794,167219.833103972
1795,136926.876169677
1796,125795.990345554
1797,115353.487533712
1798,118501.248663403
1799,112707.145487416
1800,121907.893102295
1801,123834.755806102
1802,140127.178058544
1803,151113.043186737
1804,144244.360022536
1805,137567.242708551
1806,128052.351473678
1807,122966.355924554
1808,125336.480229807
1809,114545.137255247
1810,131916.524821285
1811,82242.1725834325
1812,85111.6491675846
1813,122445.180644461
1814,90323.876505429
1815,59530.904504249
1816,99729.5325322533
1817,117174.041198356
1818,148610.946579513
1819,145049.035717944
1820,68446.468907132
1821,109654.776985484
1822,148064.606301675
1823,55489.6413335704
1824,118843.651324928
1825,136653.319870375
1826,104281.603593542
1827,105524.280664489
1828,127235.745707795
1829,114989.083746806
1830,132781.658145239
1831,160261.26187092
1832,60235.8319743569
1833,138539.471012331
1834,130275.500448719
1835,113877.103551905
1836,133270.414715805
1837,84260.3924109779
1838,123654.90315468
1839,107328.467571846
1840,127680.874818359
1841,132456.834982795
1842,93126.8495705454
1843,141014.252931382
1844,140571.841757305
1845,142189.313905198
1846,151012.253634626
1847,162853.600652936
